permit_type,permit_subtype,permit_street_address,permit_lot_size,contractor,contractor_address,submitted_date,issued_date,inspector
Maintenance,Mechanical,76468 Jennifer Row Apt. 295,1.06 acres,Mercado and Sons,8410 Katie Heights Flats,1546300800,1547164800,Brian Ochoa
Building,New Construction,1632 Ryan Center,0.95 acres,Blair-Williams,2618 Marshall Summit Passage,1546300800,1546819200,Brian Ochoa
Maintenance,Electrical,977 Guerrero Expressway,1.59 acres,Roth-Garcia,5547 Schroeder Glens Courts,1546387200,1547078400,Lauren Ayala
Building,Rennovation,79220 Ingram Stream Apt. 725,1.46 acres,Mercado and Sons,8410 Katie Heights Flats,1546387200,1548374400,Lauren Ayala
Maintenance,Plumbing,84900 Julie Turnpike Apt. 793,1.05 acres,Ford-Delacruz,9609 Santiago Bypass Crossroad,1546387200,1547251200,Edward Woods
Building,Rennovation,55409 Caitlin Coves Apt. 221,0.91 acres,Roth-Garcia,5547 Schroeder Glens Courts,1546473600,1548115200,Brian Ochoa
Maintenance,Electrical,80248 Evans Isle Suite 875,2.3 acres,Mercado and Sons,8410 Katie Heights Flats,1546473600,1547337600,Lauren Ayala
Maintenance,Plumbing,2209 Amanda Cape Apt. 691,0.94 acres,Mercado and Sons,8410 Katie Heights Flats,1546560000,1547510400,Stephanie White
Maintenance,Electrical,20694 Robert Cape,0.8 acres,Ford-Delacruz,9609 Santiago Bypass Crossroad,1546646400,1547164800,Brian Ochoa
Maintenance,Electrical,44526 William Crossing,1.39 acres,Mercado and Sons,8410 Katie Heights Flats,1546646400,1547424000,Lauren Ayala
Building,New Construction,399 Ashley Overpass Suite 012,0.75 acres,Ford-Delacruz,9609 Santiago Bypass Crossroad,1546646400,1547078400,Lauren Ayala
Building,Rennovation,0639 Miranda Lodge Apt. 347,1.05 acres,Quinn Inc,7398 Young Meadow Falls,1546646400,1548892800,Lauren Ayala
Maintenance,Plumbing,78275 Becker Ridges,1.18 acres,Mercado and Sons,8410 Katie Heights Flats,1546732800,1547683200,Stephanie White
Building,New Construction,71713 James Track,1.21 acres,Quinn Inc,7398 Young Meadow Falls,1546732800,1547596800,Edward Woods
Maintenance,Mechanical,18524 Jason Islands Suite 780,0.54 acres,Ford-Delacruz,9609 Santiago Bypass Crossroad,1546732800,1547337600,Lauren Ayala
Building,Rennovation,2342 Johnson Landing,0.51 acres,Lucero-Rich,6977 Ward Glens Dale,1546732800,1548633600,Edward Woods
Maintenance,Electrical,45566 Melissa Tunnel Suite 387,1.83 acres,Lucero-Rich,6977 Ward Glens Dale,1546819200,1547769600,Stephanie White
Maintenance,Mechanical,395 Moore Circles,0.39 acres,Reese Ltd,2506 Johnson Garden Run,1546819200,1547424000,Lauren Ayala
Building,Rennovation,6038 Ayala Harbors,1.05 acres,Blair-Williams,2618 Marshall Summit Passage,1546905600,1549152000,Edward Woods
Building,Rennovation,00234 Silva Fort,1.14 acres,Lucero-Rich,6977 Ward Glens Dale,1546905600,1548979200,Edward Woods
Building,New Construction,609 Brooke Harbors Suite 671,1.78 acres,Bray Ltd,6147 Amanda Center Pines,1546905600,1547856000,Stephanie White
Maintenance,Mechanical,50585 Scott Plains Apt. 061,0.66 acres,Bray Ltd,6147 Amanda Center Pines,1546992000,1547683200,Brian Ochoa
Maintenance,Plumbing,330 Todd Shore,0.55 acres,Roth-Garcia,5547 Schroeder Glens Courts,1546992000,1547510400,Edward Woods
Building,Rennovation,0383 Daugherty Squares,2.22 acres,Mercado and Sons,8410 Katie Heights Flats,1546992000,1549238400,Lauren Ayala
Building,New Construction,78316 Espinoza Mountain Apt. 756,0.69 acres,Ford-Delacruz,9609 Santiago Bypass Crossroad,1546992000,1547337600,Brian Ochoa
Maintenance,Plumbing,936 Walsh Hollow,0.59 acres,Quinn Inc,7398 Young Meadow Falls,1547078400,1547769600,Stephanie White
Maintenance,Mechanical,119 Stone Island,0.93 acres,Blair-Williams,2618 Marshall Summit Passage,1547078400,1547596800,Brian Ochoa
Building,Rennovation,601 James Orchard Suite 531,0.93 acres,Lawson Group,5562 Deleon Isle Expressway,1547164800,1549065600,Edward Woods
Maintenance,Plumbing,1263 Buckley Terrace,1.3 acres,Mercado and Sons,8410 Katie Heights Flats,1547164800,1547856000,Lauren Ayala
Building,New Construction,10716 Dominguez Lakes Suite 765,0.83 acres,Blair-Williams,2618 Marshall Summit Passage,1547164800,1547942400,Stephanie White
Maintenance,Plumbing,27278 Cowan Dale,0.82 acres,Lawson Group,5562 Deleon Isle Expressway,1547164800,1547596800,Edward Woods
Maintenance,Mechanical,08487 Daniel Circles Suite 048,1.36 acres,Reese Ltd,2506 Johnson Garden Run,1547164800,1547942400,Brian Ochoa
Building,New Construction,707 Mark Pines Suite 949,0.84 acres,Lawson Group,5562 Deleon Isle Expressway,1547164800,1547683200,Brian Ochoa
Maintenance,Plumbing,83504 Austin Green Apt. 103,1.96 acres,Bray Ltd,6147 Amanda Center Pines,1547164800,1548288000,Stephanie White
Maintenance,Electrical,6237 Kimberly Trail,1.12 acres,Mercado and Sons,8410 Katie Heights Flats,1547251200,1548115200,Stephanie White
